Grid ID,Latitude,Longitude,Area Sq Km,Road Density,Waterhole Count 10km,Distance to Water km,Distance to Gate km,Patrol Proxy,Response Time Min,Vegetation Proxy,Normalized Road Density,Normalized Waterhole Count 10km,Normalized Distance to Gate km,Normalized Response Time Min,DVI,pos_y,pos_x,Staff,Drones,Cameras,Is_Covered
86ac8159fffffff,-18.80825438,15.14623268,39.43,349.1445,0,84.762,97.24,0.0102,2.02,0.0035,0.330057338,0.0,0.56374311,0.136802974,0.1213233309299664,-2087.71623618,1590.3544314,4.0,0.0,0.0,1.0
86ac8174fffffff,-18.75690248,14.42852469,39.1,45.7355,0,35.702,166.34,0.006,8.09,0.0925,0.043076824,0.0,0.977713875,0.588104089,0.3252148675742007,-2082.01617528,1514.99509245,0.0,0.0,0.0,1.0
86ac81747ffffff,-18.78451342,14.48548911,39.12,195.9662,0,34.46,159.63,0.0062,0.94,0.1005,0.185173082,0.0,0.937514977,0.056505576,0.0365939761994571,-2085.08098962,1520.97635655,0.0,0.0,0.0,1.0
86ac8644fffffff,-19.08608023,17.11434746,40.3,425.0878,0,273.193,131.54,0.0076,3.61,0.0,0.401888586,0.0,0.769230769,0.255018587,0.0087206244767919,-2118.55490553,1797.0064833000001,0.0,0.0,0.0,1.0
86ac829a7ffffff,-18.83435875,16.69992084,40.16,112.5643,0,235.686,101.35,0.0098,4.23,0.0,0.106287089,0.0,0.588365684,0.301115242,0.0728891433786066,-2090.61382125,1753.4916882,0.0,0.0,0.0,1.0
86ac80197ffffff,-19.2196281,16.011366,39.76,452.4024,0,156.234,17.66,0.0551,5.27,0.0,0.4277242,0.0,0.086987779,0.378438662,0.1548432612285444,-2133.3787191,1681.1934299999998,0.0,0.0,0.0,1.0
86ac8639fffffff,-19.14295086,16.72832228,40.11,293.4402,0,232.106,90.53,0.011,1.93,0.0,0.277369222,0.0,0.523544213,0.130111524,0.0454934837506236,-2124.8675454599997,1756.4738394,0.0,0.0,0.0,1.0
86ac81067ffffff,-19.12442769,14.45839158,39.05,168.5047,0,11.428,152.18,0.0065,2.33,0.4668,0.159198521,0.0,0.892882818,0.159851301,0.1392446205207088,-2122.8114735900003,1518.1311159000002,0.0,0.0,0.0,1.0
86ac810efffffff,-18.96834449,14.50046436,39.1,297.7982,0,18.508,151.5,0.0066,5.49,0.2912,0.281491252,0.0,0.88880901,0.394795539,0.0553625161952133,-2105.48623839,1522.5487578,0.0,0.0,0.0,1.0
86ac8669fffffff,-18.74999947,17.02694831,40.32,453.0235,0,271.407,135.8,0.0073,0.65,0.0,0.42831167,0.0,0.794751977,0.034944238,0.0036143965993104,-2081.24994117,1787.8295725500002,0.0,0.0,0.0,1.0
86ac80257ffffff,-18.98608818,15.27153391,39.46,224.2884,0,87.265,75.35,0.0132,1.27,0.003,0.211961738,0.0,0.432602444,0.081040892,0.1227469241127391,-2107.45578798,1603.5110605500001,0.0,0.0,0.0,1.0
86ac80737ffffff,-18.98026054,15.87922216,39.75,323.6213,0,148.165,38.72,0.0255,3.11,0.0001,0.305916125,0.0,0.213156003,0.217843866,0.1646359613653817,-2106.80891994,1667.3183268,0.0,0.0,0.0,1.0
86ac8050fffffff,-19.11694897,16.16888874,39.86,239.3343,0,174.267,37.62,0.0262,3.66,0.0,0.226192958,0.0,0.20656602,0.258736059,0.176551120778216,-2121.98133567,1697.7333177,4.0,0.0,0.0,1.0
86ac80cd7ffffff,-19.24010793,16.17992589,39.84,134.7854,0,173.619,32.05,0.0307,3.91,0.0,0.127304998,0.0,0.173196741,0.27732342,0.1948052206403419,-2135.65198023,1698.89221845,0.0,0.0,0.0,1.0
86ac80037ffffff,-19.26052283,15.8484656,39.68,129.9123,0,138.724,8.84,0.1071,5.44,0.0001,0.122695759,0.0,0.034148095,0.391078067,0.3049017224632171,-2137.91803413,1664.088888,0.0,0.0,0.0,1.0
86ac8004fffffff,-19.18486992,15.56483524,39.56,174.1839,0,110.435,37.76,0.0261,2.3,0.0006,0.164570214,0.0,0.207404745,0.157620818,0.150200298218091,-2129.52056112,1634.3077002,0.0,0.0,0.0,1.0
86ac81607ffffff,-18.65575012,14.58448182,39.19,244.8518,0,51.751,156.36,0.0064,2.79,0.0317,0.231411706,0.0,0.917924754,0.194052045,0.0892223677892846,-2070.78826332,1531.3705911,0.0,0.0,0.0,1.0
86ac8002fffffff,-19.26718382,15.73814848,39.62,234.2432,0,127.114,17.4,0.0559,5.36,0.0002,0.221377522,0.0,0.085430146,0.385130112,0.2313580283466484,-2138.65740402,1652.5055903999998,0.0,0.0,0.0,1.0
86ac82c6fffffff,-18.52551538,16.67160095,40.2,117.5908,0,243.398,121.26,0.0082,4.08,0.0,0.111041423,0.0,0.707644381,0.289962825,0.0567371273987136,-2056.3322071800003,1750.51809975,0.0,0.0,0.0,1.0
86ac866afffffff,-18.84651427,16.98008397,40.28,310.8822,0,263.984,126.57,0.0079,3.05,0.0,0.293866801,0.0,0.739456027,0.2133829,0.0068157642704958,-2091.96308397,1782.90881685,0.0,0.0,0.0,1.0
86ac81c97ffffff,-19.11530534,15.17223184,39.39,173.388,0,73.148,79.1,0.0126,2.86,0.0076,0.163817409,0.0,0.455068296,0.199256506,0.1877533216118658,-2121.7988927399997,1593.0843432,0.0,0.0,0.0,1.0
86ac8394fffffff,-18.71283121,15.19321586,39.47,167.5314,0,95.114,100.2,0.0099,5.42,0.0018,0.158277922,0.0,0.581476156,0.389591078,0.2153971107228996,-2077.12426431,1595.2876653,0.0,0.0,0.0,1.0
86ac86a5fffffff,-19.53407018,16.42930527,39.89,10.7046,0,199.71,60.96,0.0163,8.46,0.0,0.009942719,0.0,0.346393482,0.615613383,0.1990230585081763,-2168.28178998,1725.0770533500001,0.0,0.0,0.0,1.0
86ac8110fffffff,-19.20738635,14.62973647,39.11,194.9547,0,15.451,133.12,0.0075,4.49,0.357,0.184216351,0.0,0.778696382,0.320446097,0.2903000802241963,-2132.01988485,1536.12232935,0.0,0.0,0.0,1.0
86ac86797ffffff,-18.92779705,17.1554312,40.35,169.9991,0,280.197,140.37,0.0071,1.64,0.0,0.160612005,0.0,0.822130362,0.108550186,0.0055400010000294,-2100.98547255,1801.320276,0.0,0.0,0.0,1.0
86ac815a7ffffff,-18.93110447,15.15662334,39.42,173.0104,0,78.592,88.87,0.0112,3.37,0.0053,0.163460254,0.0,0.513599329,0.237174721,0.1600482449061172,-2101.35259617,1591.4454507,0.0,0.0,0.0,1.0
86ac80cf7ffffff,-19.30167123,16.18544925,39.83,272.9954,0,173.698,31.2,0.0315,1.62,0.0,0.258031433,0.0,0.168104481,0.107063197,0.127291152604566,-2142.48550653,1699.4721712500002,0.0,0.0,0.0,1.0
